id,country,city
1,afghanistan,kabul
2,afghanistan,kandahar
3,afghanistan,herat
4,afghanistan,farah
5,afghanistan,mazar-e-sharif
6,afghanistan,lashkar-gah
7,afghanistan,kunduz
8,afghanistan,taluqan
9,afghanistan,jalalabad
10,afghanistan,shibirghan
11,afghanistan,zaranj
12,afghanistan,khost
13,afghanistan,maimanah
14,afghanistan,mehtar-lam
15,afghanistan,ghazni
16,afghanistan,paghman
17,afghanistan,pul-e-khumri
18,afghanistan,bamyan
19,afghanistan,charikar
20,afghanistan,balkh
21,afghanistan,baghlan
22,afghanistan,tarin-kot
23,afghanistan,gardez
24,afghanistan,bazar-e-yakawlang
25,afghanistan,faizabad
26,afghanistan,qalah-ye-now
27,afghanistan,ghoriyan
28,afghanistan,sar-e-pul
29,afghanistan,haskah-menah
30,afghanistan,mahmud-e-raqi
31,afghanistan,aqchah
32,afghanistan,qalat
33,afghanistan,asadabad
34,afghanistan,gudarah
35,afghanistan,andkhoy
36,afghanistan,kotah-ye-ashro
37,afghanistan,maidan-shahr
38,afghanistan,bagrami
39,afghanistan,bala-koh
40,afghanistan,khulm
41,afghanistan,khanabad
42,afghanistan,hukumati-baghran
43,afghanistan,bazarak
44,afghanistan,sheghnan
45,afghanistan,pul-e-alam
46,afghanistan,baraki-barak
47,afghanistan,sangin
48,afghanistan,qalah-ye-zal
49,afghanistan,karukh
50,afghanistan,kushk
51,afghanistan,qarqin
52,afghanistan,islam-qalah
53,afghanistan,zarah-sharan
54,afghanistan,fayroz-koh
55,afghanistan,taywarah
56,afghanistan,baraki
57,afghanistan,zarghun-shahr
58,afghanistan,kuhsan
59,afghanistan,ishkashim
60,afghanistan,hukumati-gizab
61,afghanistan,tujg
62,afghanistan,aibak
63,afghanistan,panjab
64,afghanistan,imam-sahib
65,afghanistan,mama-khel
66,afghanistan,deh-e-shu
67,afghanistan,chichkah
68,afghanistan,parun
69,afghanistan,sharan
70,afghanistan,nili
71,albania,tirana
72,albania,durres
73,albania,vlore
74,albania,kamez
75,albania,fier
76,albania,shkoder
77,albania,elbasan
78,albania,korce
79,albania,sarande
80,albania,berat
81,albania,lushnje
82,albania,kavaje
83,albania,gjirokaster
84,albania,pogradec
85,albania,fushe-kruje
86,albania,lac
87,albania,kukes
88,albania,sukth
89,albania,bucimas
90,albania,lezhe
91,albania,patos
92,albania,peshkopi
93,albania,librazhd-qender
94,albania,kucove
95,albania,kruje
96,albania,burrel
97,albania,perondi
98,albania,libonik
99,albania,rreshen
100,albania,belsh
101,albania,gramsh
102,albania,librazhd
103,albania,permet
104,albania,bajram-curri
105,albania,tepelene
106,albania,corovode
107,albania,erseke
108,albania,puke
109,algeria,algiers
110,algeria,constantine
111,algeria,batna
112,algeria,setif
113,algeria,djelfa
114,algeria,annaba
115,algeria,sidi-bel-abbes
116,algeria,biskra
117,algeria,tebessa
118,algeria,ouargla
119,algeria,tiaret
120,algeria,bejaia
121,algeria,tlemcen
122,algeria,bordj-bou-arreridj
123,algeria,bechar
124,algeria,blida
125,algeria,skikda
126,algeria,souk-ahras
127,algeria,chlef
128,algeria,mostaganem
129,algeria,touggourt
130,algeria,medea
131,algeria,tizi-ouzou
132,algeria,el-oued
133,algeria,laghouat
134,algeria,msila
135,algeria,jijel
136,algeria,relizane
137,algeria,saida
138,algeria,guelma
139,algeria,ghardaia
140,algeria,mascara
141,algeria,khenchela
142,algeria,oran
143,algeria,tamanrasset
144,algeria,el-bayadh
145,algeria,oum-el-bouaghi
146,algeria,ain-temouchent
147,algeria,tissemsilt
148,algeria,mila
149,algeria,bouira
150,algeria,adrar
151,algeria,ain-defla
152,algeria,ouled-djellal
153,algeria,el-meghaier
154,algeria,tindouf
155,algeria,boumerdes
156,algeria,el-golea
157,algeria,timimoun
158,algeria,i-n-salah
159,algeria,el-tarf
160,algeria,tipasa
161,algeria,illizi
162,algeria,bordj-mokhtar
163,algeria,naama
164,algeria,djanet
165,algeria,beni-abbes
166,algeria,in-guezzam
167,algeria,bou-saada
168,algeria,barika
169,algeria,messaad
170,algeria,aflou
171,algeria,ain-oussera
172,algeria,bir-el-ater
173,algeria,ksar-chellala
174,algeria,ain-sefra
175,algeria,hassi-messaoud
176,algeria,takhemaret
177,algeria,beni-slimane
178,algeria,ghazaouet
179,algeria,ain-el-hadjel
180,algeria,el-abiodh-sidi-cheikh
181,algeria,el-idrissia
182,algeria,reggane
183,algeria,timoktene
184,algeria,bougtob
185,algeria,medrissa
186,algeria,el-hadjira
187,algeria,tsabit
188,algeria,khadra
189,algeria,abadla
190,algeria,sali
191,algeria,aougrout
192,algeria,sidi-baizid
193,algeria,beni-ounif
194,algeria,zelfana
195,algeria,negrine
196,algeria,i-n-amenas
197,algeria,abalessa
198,algeria,i-n-amguel
199,american-samoa,pago-pago
200,andorra,andorra-la-vella
201,andorra,escaldes-engordany
202,andorra,encamp
203,andorra,la-massana
204,andorra,sant-julia-de-loria
205,andorra,canillo
206,andorra,ordino
207,angola,luanda
208,angola,cacuaco
209,angola,cazenga
210,angola,lubango
211,angola,cabinda
212,angola,huambo
213,angola,malanje
214,angola,benguela
215,angola,belas
216,angola,talatona
217,angola,lobito
218,angola,saurimo
219,angola,cubal
220,angola,luena
221,angola,cuito
222,angola,uige
223,angola,menongue
224,angola,vila-teixeira-da-silva
225,angola,sumbe
226,angola,gabela
227,angola,ndulo
228,angola,mocamedes
229,angola,ganda
230,angola,uacu-cungo
231,angola,barra-do-dande
232,angola,soio
233,angola,tchitato
234,angola,chibia
235,angola,ucu-seles
236,angola,cuango
237,angola,mbanza-kongo
238,angola,caluquembe
239,angola,dundo
240,angola,catumbela
241,angola,cazanga
242,angola,catape
243,angola,ebo
244,angola,bocoio
245,angola,quibala
246,angola,ndalatando
247,angola,quipungo
248,angola,camacupa
249,angola,lucapa
250,angola,maquela-do-zombo
251,angola,namacunde
252,angola,negage
253,angola,porto-amboim
254,angola,quimbele
255,angola,londuimbali
256,angola,chicomba
257,angola,chinguar
258,angola,catabola
259,angola,ondjiva
260,angola,catchiungo
261,angola,cassongue
262,angola,quilengues
263,angola,mungo
264,angola,balombo
265,angola,baia-farta
266,angola,ndjamba
267,angola,quilenda
268,angola,caimbambo
269,angola,cambambe
270,angola,luau
271,angola,conda
272,angola,humpata
273,angola,chongoroi
274,angola,longonjo
275,angola,calandala
276,angola,kuvango
277,angola,chitembo
278,angola,chitemo
279,angola,caxito
280,angola,cunhinga
281,angola,dondo
282,angola,xangongo
283,angola,cahama
284,angola,cuimba
285,angola,sanza-pombo
286,angola,xa-muteba
287,angola,damba
288,angola,chipindo
289,angola,camabatela
290,angola,sungo
291,angola,nambuangongo
292,angola,calulo
293,angola,capenda-camulemba
294,angola,cuvelai
295,angola,nova-esperanca
296,angola,cuemba
297,angola,porto-alexandre
298,angola,ucuma
299,angola,luquembo
300,angola,cangola
301,angola,cambundi-catembo
302,angola,cangandala
303,angola,cacongo
304,angola,tomboco
305,angola,mucaba
306,angola,cuchi
307,angola,cuito-cuanavale
308,angola,cacuso
309,angola,puri
310,angola,quilevo
311,angola,golungo-alto
312,angola,muconda
313,angola,bembe
314,angola,massango
315,angola,buco-zau
316,angola,virei
317,angola,cacolo
318,angola,tchindjendje
319,angola,mucari
320,angola,dala
321,angola,marimba
322,angola,noqui
323,angola,ambriz
324,angola,lucala
325,angola,samba-cango
326,angola,caombo
327,angola,quirima
328,angola,alto-cuilo
329,angola,cuilo
330,angola,quela
331,angola,luacano
332,angola,lubalo
333,angola,quibaxi
334,angola,ambiula
335,angola,quimavango
336,angola,bolongongo
337,angola,cunda-dia-baze
338,angola,nzeto
339,angola,songo
340,angola,bibala
341,angola,banga
342,angola,quiculungo
343,angola,chibemba
344,angola,bala-cangamba
345,angola,calenga
346,angola,tchitado
347,angola,cazombo
348,anguilla,the-valley
349,antigua-and-barbuda,saint-johns
350,argentina,buenos-aires
351,argentina,cordoba
352,argentina,santiago-del-estero
353,argentina,san-miguel-de-tucuman
354,argentina,salta
355,argentina,san-juan
356,argentina,santa-fe
357,argentina,corrientes
358,argentina,san-salvador-de-jujuy
359,argentina,resistencia
360,argentina,posadas
361,argentina,parana
362,argentina,formosa
363,argentina,neuquen
364,argentina,la-plata
365,argentina,la-rioja
366,argentina,san-luis
367,argentina,catamarca
368,argentina,mendoza
369,argentina,santa-rosa
370,argentina,rio-gallegos
371,argentina,viedma
372,argentina,ushuaia
373,argentina,rawson
374,argentina,rosario
375,argentina,comodoro-rivadavia
376,argentina,mar-del-plata
377,argentina,bahia-blanca
378,argentina,pilar
379,argentina,san-rafael
380,argentina,rio-cuarto
381,argentina,san-nicolas-de-los-arroyos
382,argentina,concordia
383,argentina,puerto-madryn
384,argentina,san-carlos-de-bariloche
385,argentina,villa-mercedes
386,argentina,gualeguaychu
387,argentina,pergamino
388,argentina,concepcion-del-uruguay
389,argentina,rio-grande
390,argentina,rafaela
391,argentina,necochea
392,argentina,presidencia-roque-saenz-pena
393,argentina,olavarria
394,argentina,villa-maria
395,argentina,junin
396,argentina,san-ramon-de-la-nueva-oran
397,argentina,san-pedro
398,argentina,reconquista
399,argentina,goya
400,argentina,obera
401,argentina,pirane
402,argentina,mercedes
403,argentina,tartagal
404,argentina,san-francisco
405,argentina,chivilcoy
406,argentina,general-pico
407,argentina,eldorado
408,argentina,tres-arroyos
409,argentina,clorinda
410,argentina,concepcion
411,argentina,villaguay
412,argentina,tunuyan
413,argentina,libertador-general-san-martin
414,argentina,trenque-lauquen
415,argentina,balcarce
416,argentina,paso-de-los-libres
417,argentina,gualeguay
418,argentina,coronel-suarez
419,argentina,villa-angela
420,argentina,apostoles
421,argentina,pinamar
422,argentina,esquel
423,argentina,nueve-de-julio
424,argentina,casilda
425,argentina,curuzu-cuatia
426,argentina,bell-ville
427,argentina,chilecito
428,argentina,chascomus
429,argentina,bragado
430,argentina,termas-de-rio-hondo
431,argentina,zapala
432,argentina,canuelas
433,argentina,general-jose-de-san-martin
434,argentina,pehuajo
435,argentina,cruz-del-eje
436,argentina,victoria
437,argentina,general-alvear
438,argentina,bella-vista
439,argentina,lincoln
440,argentina,san-martin-de-los-andes
441,argentina,malargue
442,argentina,castelli
443,argentina,marcos-juarez
444,argentina,las-flores
445,argentina,frias
446,argentina,charata
447,argentina,rosario-de-la-frontera
448,argentina,dolores
449,argentina,el-calafate
450,argentina,la-paz
451,argentina,monte-caseros
452,argentina,santo-tome
453,argentina,anatuya
454,argentina,san-justo
455,argentina,dean-funes
456,argentina,joaquin-v-gonzalez
457,argentina,san-jose-de-jachal
458,argentina,laboulaye
459,argentina,ituzaingo
460,argentina,puerto-rico
461,argentina,ayacucho
462,argentina,santa-maria
463,argentina,la-quiaca
464,argentina,daireaux
465,argentina,puan
466,argentina,general-villegas
467,argentina,san-antonio-oeste
468,argentina,federal
469,argentina,villa-del-rosario
470,argentina,villa-paranacito
471,argentina,villa-ojo-de-agua
472,argentina,tostado
473,argentina,rauch
474,argentina,san-cristobal
475,argentina,benito-juarez
476,argentina,puerto-deseado
477,argentina,andalgala
478,argentina,las-rosas
479,argentina,empedrado
480,argentina,chos-malal
481,argentina,chamical
482,argentina,rosario-del-tala
483,argentina,san-salvador
484,argentina,general-acha
485,argentina,monte-quemado
486,argentina,la-carlota
487,argentina,villa-union
488,argentina,belen
489,argentina,presidencia-de-la-plaza
490,argentina,cafayate
491,argentina,tornquist
492,argentina,oliva
493,argentina,coronel-dorrego
494,argentina,tinogasta
495,argentina,humahuaca
496,argentina,capitan-sarmiento
497,argentina,villa-la-angostura
498,armenia,yerevan
499,armenia,gyumri
500,armenia,vanadzor
501,armenia,ejmiatsin
502,armenia,hrazdan
503,armenia,abovyan
504,armenia,kapan
505,armenia,armavir
506,armenia,charentsavan
507,armenia,stepanavan
508,armenia,sevan
509,armenia,ashtarak
510,armenia,masis
511,armenia,artashat
512,armenia,ararat
513,armenia,gavarr
514,armenia,goris
515,armenia,ijevan
516,armenia,artik
517,armenia,dilijan
518,armenia,spitak
519,armenia,sisian
520,armenia,vedi
521,armenia,alaverdi
522,armenia,vardenis
523,armenia,martuni
524,armenia,yeghvard
525,armenia,vardenik
526,armenia,metsamor
527,armenia,berd
528,armenia,byureghavan
529,armenia,nor-hachn
530,armenia,tashir
531,armenia,nerkin-getashen
532,armenia,yeghegnadzor
533,aruba,oranjestad
534,aruba,tanki-leendert
535,australia,melbourne
536,australia,sydney
537,australia,brisbane
538,australia,perth
539,australia,adelaide
540,australia,canberra
541,australia,hobart
542,australia,darwin
543,australia,gold-coast
544,australia,central-coast
545,australia,wollongong
546,australia,geelong
547,australia,townsville
548,australia,newcastle
549,australia,cairns
550,australia,ballarat
551,australia,toowoomba
552,australia,bendigo
553,australia,mandurah
554,australia,launceston
555,australia,mackay
556,australia,bunbury
557,australia,bundaberg
558,australia,rockhampton
559,australia,hervey-bay
560,australia,buderim
561,australia,wagga-wagga
562,australia,pakenham
563,australia,port-macquarie
564,australia,dubbo
565,australia,orange
566,australia,gladstone
567,australia,mildura
568,australia,geraldton
569,australia,shepparton
570,australia,kalgoorlie
571,australia,warrnambool
572,australia,coffs-harbour
573,australia,mount-gambier
574,australia,albany
575,australia,traralgon
576,australia,alice-springs
577,australia,devonport
578,australia,goulburn
579,australia,whyalla
580,australia,armidale
581,australia,wodonga
582,australia,yaraka
583,australia,griffith
584,australia,broken-hill
585,australia,wangaratta
586,australia,karratha
587,australia,taree
588,australia,ulladulla
589,australia,horsham
590,australia,echuca
591,australia,murray-bridge
592,australia,port-lincoln
593,australia,emerald
594,australia,goonellabah
595,australia,warwick
596,australia,dalby
597,australia,broome
598,australia,muswellbrook
599,australia,gympie
600,australia,grafton
601,australia,kingaroy
602,australia,hamilton
603,australia,swan-hill
604,australia,parkes
605,australia,mudgee
606,australia,portland
607,australia,inverell
608,australia,bowen
609,australia,nowra
610,australia,colac
611,australia,moranbah
612,australia,gunnedah
613,australia,cowra
614,australia,ayr
615,australia,charters-towers
616,australia,katoomba
617,australia,maryborough
618,australia,young
619,australia,bairnsdale
620,australia,atherton
621,australia,moree
622,australia,ararat
623,australia,seymour
624,australia,port-augusta
625,australia,northam
626,australia,roma
627,australia,newman
628,australia,cooma
629,australia,deniliquin
630,australia,tumut
631,australia,biloela
632,australia,narrabri
633,australia,goondiwindi
634,australia,cobram
635,australia,wonthaggi
636,australia,kununurra
637,australia,ingham
638,australia,narrogin
639,australia,victor-harbor
640,australia,manjimup
641,australia,berri
642,australia,port-hedland
643,australia,katanning
644,australia,merimbula
645,australia,ceduna
646,australia,port-douglas
647,australia,wallaroo
648,australia,proserpine
649,australia,clare
650,australia,weipa
651,australia,smithton
652,australia,tom-price
653,australia,bordertown
654,australia,longreach
655,australia,charleville
656,australia,cloncurry
657,australia,exmouth
658,australia,merredin
659,australia,esperance
660,australia,queenstown
661,australia,bourke
662,australia,halls-creek
663,australia,peterborough
664,australia,port-denison
665,australia,penola
666,australia,kingston-south-east
667,australia,kalbarri
668,australia,katherine
669,australia,barcaldine
670,australia,innisfail
671,australia,ouyen
672,australia,hughenden
673,australia,cowell
674,australia,streaky-bay
675,australia,laverton
676,australia,meningie
677,australia,winton
678,australia,yulara
679,australia,gingin
680,australia,onslow
681,australia,bicheno
682,australia,wyndham
683,australia,pannawonica
684,australia,meekatharra
685,austria,vienna
686,austria,graz
687,austria,linz
688,austria,lochau
689,austria,salzburg
690,austria,innsbruck
691,austria,klagenfurt
692,austria,villach
693,austria,wels
694,austria,sankt-polten
695,austria,krems-an-der-donau
696,austria,dornbirn
697,austria,wiener-neustadt
698,austria,steyr
699,austria,bregenz
700,austria,leonding
701,austria,klosterneuburg
702,austria,baden
703,austria,wolfsberg
704,austria,leoben
705,austria,traun
706,austria,lustenau
707,austria,amstetten
708,austria,kapfenberg
709,austria,hallein
710,austria,modling
711,austria,kufstein
712,austria,traiskirchen
713,austria,schwechat
714,austria,braunau-am-inn
715,austria,hohenems
716,austria,stockerau
717,austria,saalfelden-am-steinernen-meer
718,austria,ansfelden
719,austria,telfs
720,austria,bruck-an-der-mur
721,austria,spittal-an-der-drau
722,austria,perchtoldsdorf
723,austria,bludenz
724,austria,ternitz
725,austria,eisenstadt
726,austria,feldkirchen
727,austria,bad-ischl
728,austria,hall-in-tirol
729,austria,worgl
730,austria,schwaz
731,austria,marchtrenk
732,austria,hard
733,austria,feldbach
734,austria,gmunden
735,austria,leibnitz
736,austria,korneuburg
737,austria,neunkirchen
738,austria,knittelfeld
739,austria,sankt-veit-an-der-glan
740,austria,vocklabruck
741,austria,enns
742,austria,lienz
743,austria,ried-im-innkreis
744,austria,brunn-am-gebirge
745,austria,rankweil
746,austria,bad-voslau
747,austria,groß-enzersdorf
748,austria,deutschlandsberg
749,austria,hollabrunn
750,austria,weiz
751,austria,mistelbach
752,austria,gotzis
753,austria,ganserndorf
754,austria,waidhofen-an-der-ybbs
755,austria,sankt-johann-im-pongau
756,austria,gerasdorf-bei-wien
757,austria,trofaiach
758,austria,volkermarkt
759,austria,ebreichsdorf
760,austria,gleisdorf
761,austria,zwettl
762,austria,bischofshofen
763,austria,imst
764,austria,lauterach
765,austria,strasshof-an-der-nordbahn
766,austria,judenburg
767,austria,sankt-andra
768,austria,koflach
769,austria,laakirchen
770,austria,altmunster
771,austria,zell-am-see
772,austria,sankt-johann-in-tirol
773,austria,purkersdorf
774,austria,wiener-neudorf
775,austria,voitsberg
776,austria,sierning
777,austria,sankt-valentin
778,austria,rum
779,austria,guntramsdorf
780,austria,berndorf
781,austria,velden-am-worthersee
782,austria,attnang-puchheim
783,austria,maria-enzersdorf
784,austria,engerwitzdorf
785,austria,stainz
786,austria,deutsch-wagram
787,austria,furstenfeld
788,azerbaijan,baku
789,azerbaijan,sumqayıt
790,azerbaijan,gəncə
791,azerbaijan,agcabədi
792,azerbaijan,mingəcevir
793,azerbaijan,xırdalan
794,azerbaijan,naxcıvan
795,azerbaijan,satrovka
796,azerbaijan,qaracuxur
797,azerbaijan,hovsan
798,azerbaijan,bakıxanov
799,azerbaijan,sirvan
800,azerbaijan,səki
801,azerbaijan,yevlax
802,azerbaijan,mə-rəsulzadə
803,azerbaijan,lənkəran
804,azerbaijan,xankəndi
805,azerbaijan,biləcəri
806,azerbaijan,mastaga
807,azerbaijan,səmkir
808,azerbaijan,xacmaz
809,azerbaijan,samaxı
810,azerbaijan,bərdə
811,azerbaijan,quba
812,azerbaijan,goygol
813,azerbaijan,binəqədi
814,azerbaijan,goycay
815,azerbaijan,lokbatan
816,azerbaijan,qazax
817,azerbaijan,buzovna
818,azerbaijan,imisli
819,azerbaijan,zaqatala
820,azerbaijan,sabirabad
821,azerbaijan,salyan
822,azerbaijan,agdas
823,azerbaijan,əmircan
824,azerbaijan,hacıqabul
825,azerbaijan,binə
826,azerbaijan,cəlilabad
827,azerbaijan,keslə
828,azerbaijan,mərdəkan
829,azerbaijan,zabrat
830,azerbaijan,sabuncu
831,azerbaijan,sahil
832,azerbaijan,hacı-zeynalabdin
833,azerbaijan,ismayıllı
834,azerbaijan,agsu
835,azerbaijan,agstafa
836,azerbaijan,biləsuvar
837,azerbaijan,siyəzən
838,azerbaijan,saatlı
839,azerbaijan,bulbulə
840,azerbaijan,hindarx
841,azerbaijan,astara
842,azerbaijan,qusar
843,azerbaijan,yeni-suraxanı
844,azerbaijan,qazyan
845,azerbaijan,ərkivan
846,azerbaijan,kurdəmir
847,azerbaijan,suvəlan
848,azerbaijan,masallı
849,azerbaijan,qobustan
850,azerbaijan,ucar
851,azerbaijan,neftcala
852,azerbaijan,nehrəm
853,azerbaijan,pirallahı
854,azerbaijan,tovuz
855,azerbaijan,bas-goynuk
856,azerbaijan,quzanlı
857,azerbaijan,corat
858,azerbaijan,qazmalar
859,azerbaijan,ələt
860,azerbaijan,tərtər
861,azerbaijan,culfa
862,azerbaijan,beyləqan
863,azerbaijan,badamdar
864,azerbaijan,balaxanı
865,azerbaijan,liman
866,azerbaijan,qax
867,azerbaijan,zirə
868,azerbaijan,əhmədli
869,azerbaijan,xudat
870,azerbaijan,əliabad
871,azerbaijan,saray
872,azerbaijan,daskəsən
873,azerbaijan,ordubad
874,azerbaijan,samux
875,azerbaijan,qovlar
876,azerbaijan,turkan
877,azerbaijan,naftalan
878,azerbaijan,goytəpə
879,azerbaijan,boladı
880,azerbaijan,asagı-ayıblı
881,azerbaijan,vəndam
882,azerbaijan,sədərək
883,azerbaijan,gədəbəy
884,azerbaijan,qızılhacılı
885,azerbaijan,asagı-quscu
886,azerbaijan,zərdab
887,azerbaijan,yardımlı
888,azerbaijan,goranboy
889,azerbaijan,lerik
890,azerbaijan,oguz
891,azerbaijan,cəbrayıl
892,azerbaijan,xocavənd
893,azerbaijan,babək
894,azerbaijan,susa
895,azerbaijan,qıvraq
896,azerbaijan,agdam
897,azerbaijan,sahbuz
898,azerbaijan,lacın
899,azerbaijan,heydərabad
900,azerbaijan,balakən
901,azerbaijan,xızı
902,azerbaijan,xocalı
903,azerbaijan,qubadlı
904,azerbaijan,kəlbəcər
905,azerbaijan,fuzuli
906,azerbaijan,dəvəci
907,azerbaijan,sərur
908,azerbaijan,qəbələ
909,bahamas-the,nassau
910,bahamas-the,lucaya
911,bahamas-the,freeport-city
912,bahamas-the,west-end
