Rank,Query,Clicks,Impressions,CTR,Position
1,কুয়েত নামাজের সময় সূচি 2025,58,212,27.36%,4.155660377
2,কুয়েত নামাজের সময়সূচি ২০২৫,28,190,14.74%,3.784210526
3,কুয়েত নামাজের সময়সূচী,22,263,8.37%,5.19391635
4,dua and ruqyah,17,34,50.00%,1.323529412
5,ruqyah dua,16,1164,1.37%,9.75
6,ya hayyu ya qayyum dua,15,1086,1.38%,8.76335175
7,dua & ruqyah,12,18,66.67%,1.5
8,isme azam dua,12,206,5.83%,5.325242718
9,astaghfirullah al azeem,10,1047,0.96%,4.29321872
10,allahumma aslih li deeni,9,194,4.64%,2.989690722
11,namaz time mauritius,9,665,1.35%,5.645112782
12,how to use sidr leaves for ruqyah,8,70,11.43%,3.271428571
13,dua against enemies and oppressors,8,118,6.78%,6.457627119
14,rabbana lakal hamd,7,989,0.71%,4.901921132
15,namaz e janaza dua,7,363,1.93%,5.545454545
16,islamic prayer times,7,11423,0.06%,9.072397794
17,dua for new born baby arabic,7,194,3.61%,8.190721649
18,sihr al marad,6,16,37.50%,1.5
19,safa marwa dua,6,734,0.82%,8.166212534
20,janaza dua for male,5,189,2.65%,7.391534392
21,islamic dua for new born baby boy,5,166,3.01%,9.481927711
22,janaza dua for female,5,284,1.76%,6.975352113
23,dua ruqyah,5,137,3.65%,8.408759124
24,allahummaghfirli warhamni wahdini warzuqni,5,311,1.61%,6.22829582
25,allahummaghfirli ma qaddamtu full,5,179,2.79%,5.592178771
26,allahumma rabbas samawatis sab'i dua in arabic,5,79,6.33%,6.835443038
27,esha time mauritius,4,418,0.96%,6.748803828
28,ruqyah for sihr,4,25,16.00%,7.24
29,signs of sihr of separation,4,55,7.27%,9.109090909
30,tashahhud dua,4,90,4.44%,6.488888889
31,tashahhud full dua,4,260,1.54%,9.569230769
32,ya hayyu ya qayyum birahmatika astaghees dua,4,583,0.69%,8.084048027
33,allahumma inni auzubika an azilla,4,94,4.26%,4.319148936
34,allahumma rabbas samawati sab'i wa rabbal arshil azeem,4,27,14.81%,4.851851852
35,amantu billahi dua,4,175,2.29%,4.828571429
36,dua for new born baby,4,742,0.54%,9.443396226
37,dua for victory over enemy,4,138,2.90%,8.224637681
38,allahumma laka sajadtu wabika amantu,3,68,4.41%,5.147058824
39,barakallahu laka dua in arabic,3,260,1.15%,7.215384615
40,subbuhun quddusun rabbul-mala'ikati war-ruh,3,589,0.51%,7.604414261
41,নামাজের সময়সূচি কুয়েত,3,86,3.49%,5.88372093
42,ya hayyu ya qayyum full dua,3,119,2.52%,5.890756303
43,women janaza dua,3,16,18.75%,5.5
44,sihr mahaba,3,14,21.43%,3.714285714
45,sihr al junoon,3,12,25.00%,2.666666667
46,salat time mauritius,3,141,2.13%,4.546099291
47,prayer time mauritius,3,471,0.64%,5.711252654
48,most powerful dua against enemy,3,285,1.05%,9.10877193
49,dua safa marwa,3,94,3.19%,7.574468085
50,dua for protection from shaytan,3,124,2.42%,10.26612903
51,benghazi prayer times,3,128,2.34%,10.4921875
52,tahajjud namaz time jammu,2,65,3.08%,6.092307692
53,tahajjud namaz time mymensingh,2,69,2.90%,8.391304348
54,zamboanga city prayer time today,2,76,2.63%,5.684210526
55,zikr subhanallah alhamdulillah allahu akbar,2,12,16.67%,5.166666667
56,sidr leaves for ruqyah,2,11,18.18%,4.181818182
57,sihr al-junoon,2,8,25.00%,3.5
58,allahummaghfirli dua,2,710,0.28%,7.387323944
59,allahummaghfirli warhamni,2,274,0.73%,7.813868613
60,attahiyat full text,2,13,15.38%,5
61,bahrain prayer time manama today,2,222,0.90%,8.761261261
62,barakallah dua for marriage in arabic text,2,74,2.70%,8.783783784
63,bismillahi arqika dua,2,134,1.49%,9.223880597
64,dua after ablution,2,95,2.11%,7.505263158
65,dua against enemies,2,212,0.94%,9.070754717
66,dua e janaza,2,163,1.23%,6.644171779
67,dua for a new born baby,2,88,2.27%,10.11363636
68,dua for namaz e janaza,2,110,1.82%,6.109090909
69,dua for new born baby boy,2,55,3.64%,11.09090909
70,dua for newborn,2,73,2.74%,10.42465753
71,dua for safa marwa,2,86,2.33%,8.453488372
72,dua for the deceased for female,2,52,3.85%,11.76923077
73,dua rukaiya,2,36,5.56%,8.305555556
74,fajr time taguig,2,85,2.35%,5.635294118
75,girl janaza dua,2,8,25.00%,10.25
76,hasbiyallahu,2,341,0.59%,10.79178886
77,how to make ruqya water,2,37,5.41%,8.891891892
78,how to make ruqyah water,2,65,3.08%,9.338461538
79,isha prayer time,2,905,0.22%,11.79779006
80,ism e azam dua,2,95,2.11%,7.273684211
81,jawal ka time today,2,18,11.11%,11.05555556
82,la ilaha illallahul halimul karim dua meaning,2,21,9.52%,3.666666667
83,"la ilaha illallahul halimul karim subhanallahi rabbil arshil azim, alhamdulillahi rabbil alamin",2,42,4.76%,10.47619048
84,malta prayer time,2,420,0.48%,8.338095238
85,namaz janaza dua,2,244,0.82%,5.512295082
86,allahumma laka sajadtu,2,50,4.00%,4.02
87,namaz time,2,2596,0.08%,8.862095532
88,namaz timing,2,1398,0.14%,7.67739628
89,prayer time in yola today,2,12,16.67%,7
90,prayer time limassol,2,498,0.40%,5.732931727
91,prayer time skopje,2,284,0.70%,5.725352113
92,prayer time tripoli lebanon,2,222,0.90%,10.47747748
93,prayer times mauritius,2,545,0.37%,5.027522936
94,rabbana lakal hamd full dua,2,79,2.53%,3.873417722
95,rabbana lakal hamd meaning,2,238,0.84%,4.630252101
96,rukaiya dua,2,174,1.15%,8.252873563
97,allahumma inni auzubika an adilla,2,25,8.00%,4.24
98,allahumma aslih li deeni dua,2,42,4.76%,2.166666667
99,allahumma a'inni ala zikrika wa shukrika,2,29,6.90%,7.655172414
100,allahumma maghfir lee,2,115,1.74%,7.156521739
101,3 qul surah in english,2,60,3.33%,6.55
102,ruqya for sihr,2,13,15.38%,7.307692308
103,ruqyah dua in arabic,2,66,3.03%,8.803030303
104,ruqyah olive oil,2,15,13.33%,3.2
105,rabbana lakal hamdu,2,46,4.35%,6.847826087
106,salalah prayer time,2,368,0.54%,4.907608696
107,sidr leaves ruqyah bath,2,6,33.33%,4.5
108,sihr al mahaba,2,10,20.00%,3
109,sihr al mahabba,2,17,11.76%,2.058823529
110,raqi,2,414,0.48%,6.608695652
111,sihr of impeding marriage,2,10,20.00%,1.9
112,subbuhun quddusun rabbul mala ikati war-ruh benefits,2,77,2.60%,3.584415584
113,subhanallah alhamdulillah allahu akbar wala hawla wala quwwata,2,3,66.67%,7.666666667
114,namaz janaza ki dua for male,2,119,1.68%,5.621848739
115,12 months namaz time table,1,1,100.00%,7
116,3 qul in english,1,57,1.75%,6.403508772
117,3 quls translation,1,2,50.00%,5.5
118,adzan singapore,1,250,0.40%,10.008
119,after prayer dhikr,1,1,100.00%,38
120,after witr dua,1,32,3.13%,8.125
121,al hayyu al qayyum dua,1,8,12.50%,9
122,alhamdulillah ala kulli hal,1,7,14.29%,12.85714286
123,alhamdulillah illallah,1,1,100.00%,7
124,allahumma a'inni ala sakaratul maut meaning,1,1,100.00%,9
125,allahumma a'inni ala zikrika,1,90,1.11%,6.022222222
126,allahumma bi ilmika al ghaib full dua,1,5,20.00%,8.2
127,allahumma innee a'uzubika min alhammi wal huzni wal ajzi wal kasli wal bukhli wal jubni wa dala'id dayni wa galabatir rijaal.,1,19,5.26%,7.894736842
128,allahumma inni as aluka min fadlika wa rahmatika benefits,1,2,50.00%,10.5
129,allahumma inni zalamtu,1,118,0.85%,9.228813559
130,allahumma la aslih li faqr,1,60,1.67%,8.3
131,allahumma maghfir lee dua,1,104,0.96%,7.298076923
132,allahumma maghfir lee warhamnee dua,1,114,0.88%,8.754385965
133,allahumma rabbas samawati,1,9,11.11%,8.111111111
134,allahumma rabbas samawati sab'i dua in arabic,1,5,20.00%,6.2
135,allahummaghfirli ma qaddamtu,1,87,1.15%,5.436781609
136,allahummaghfirli ma qaddamtu full dua,1,45,2.22%,6.644444444
137,allahummaghfirli warhamni full dua,1,259,0.39%,9.822393822
138,allahummaghfirli warhamni wahdini warzuqni in english,1,4,25.00%,9.25
139,allahummaghfirli zambi kullahu dua in english,1,153,0.65%,9.366013072
140,asar ki namaz ka time,1,13,7.69%,14.15384615
141,asr prayer time,1,598,0.17%,11.56688963
142,asr time,1,647,0.15%,11.71097372
143,asr time in lucknow,1,425,0.24%,8.336470588
144,astaghfirullah al azeem dua,1,31,3.23%,4.419354839
