surah_id,Name_en,MAIN KEYWORDS,Volume,RELEVANT KEYWORDS,volume
1,Al Fatihah,Surah al-Fatihah,100K – 1M,sirah fatiha,100K – 1M
,,,,soora fathiha,100K – 1M
,,,,soora fatiha,100K – 1M
,,,,soorah fateha,100K – 1M
,,,,soorah fathiha,100K – 1M
,,,,soorah fatiha,100K – 1M
,,,,soorat fatiha,100K – 1M
,,,,soorathul fathiha,100K – 1M
,,,,surah alfateha,100K – 1M
,,,,surah al fatiha in english,10K – 100K
,,,,surah al fatiha in arabic,10K – 100K
,,,,surah fatiha english translation,10K – 100K
,,,,english translation of surah al fatiha,10K – 100K
,,,,meaning of surah fatiha in english,10K – 100K
,,,,surah fatiha transliteration in english,10K – 100K
,,,,surah fatiha in english,10K – 100K
,,,,surah fatiha in arabic,10K – 100K
,,,,translation of surah fatiha,10K – 100K
,,,,surah fatiha ka tarjuma,10K – 100K
,,,,al fatihah arabic,10K – 100K
,,,,english surah fatiha,10K – 100K
,,,,english translation of suratul fatiha,10K – 100K
,,,,fatiha surah arabic,10K – 100K
,,,,fatihah in arabic,10K – 100K
,,,,surah al fatihah,100K – 1M
,,,,surah fatiha,100K – 1M
,,,,surah fatiha translation,10K – 100K
,,,,fatiha surah translation,10K – 100K
2,Al Baqarah,surah al baqarah,1M – 10M,albaqara,1M – 10M
,,,,sura al baqara,1M – 10M
,,,,surah al baq,1M – 10M
,,,,surat ul bakra,1M – 10M
,,,,al qur an surat albaqarah,100K – 1M
,,,,baqra sura,100K – 1M
,,,,surat al baq,100K – 1M
,,,,surah al baqarah in english,100K – 1M
,,,,al bakra,1M – 10M
,,,,al bakrah,1M – 10M
,,,,al baqra,1M – 10M
,,,,al baqrah,1M – 10M
,,,,surah al baqarah full,10K – 100K
,,,,complete surah baqarah,10K – 100K
,,,,surah al baqarah complete,10K – 100K
,,,,last 2 ayat of surah baqarah,100K – 1M
,,,,last 2 verses of surah baqarah,100K – 1M
,,,,last two ayat of surah baqarah,100K – 1M
,,,,surah baqarah read online,1K – 10K
,,,,Surah Baqarah in Arabic,1K – 10K
,,,,surah al baqarah in english,10K – 100K
